sub_clause_number_1,sub_clause_number_1_heading,clause_text
1.1,Definititons,"In the Conditions of Contract (""these Conditions""), which include Particular Conditions and these General Conditions, the following words and expressions shall have the meanings stated. Words indicating persons or parties include corporations and other legal entities, except where the context requires otherwise."
1.1.1.1,The Contract,"""Contract"" means the Contract Agreement, the Letter of Acceptance, the Letter of Tender, these Conditions, the Employer's Requirements, the Schedules, the Contractor's Proposal, and the further documents (if any) which are listed in the Contract Agreement or in the Letter of Acceptance."
1.1.1.2,The Contract,"""Contract Agreement"" means the contract agreement (if any) referred to in Sub-Clause 1.6 [Contract Agreement]."
1.1.1.3,The Contract,"""Letter of Acceptance"" means the letter of formal acceptance, signed by the Employer, of the Letter of Tender, including any annexed memoranda comprising agreements between and signed by both Parties. If there is no such letter of acceptance, the expression ""Letter of Acceptance"" means the Contract Agreement and the date of issuing or receiving the Letter of Acceptance means the date of signing the Contract Agreement."
1.1.1.4,The Contract,"""Letter of Tender"" means the document entitled letter of tender, which was completed by the Contractor and includes the signed offer to the Employer for the Works."
1.1.1.5,The Contract,"""Employer's Requirements"" means the document entitled employer's requirements, as included in the Contract, and any additions and modifications to such document in accordance with the Contract. Such document specifies the purpose, scope, and/or design and/or other technical criteria, for the Works."
1.1.1.6,The Contract,"""Schedules  means the document(s) entitled schedules, completed by the Contractor and submitted with the Letter of Tender, as included in the Contract. Such document may include data, lists and schedules of payments and/or prices."
1.1.1.7,The Contract,"""Contractor's Proposal  means the document entitled proposal, which the Contractor submitted with the Letter of Tender, as included in the Contract. Such document may include the Contractor's preliminary design."
1.1.1.8,The Contract,"""Tender  means the Letter of Tender and all other documents which the Contractor submitted with the Letter of Tender, as included in the Contract"
1.1.1.9,The Contract,"""Appendix to Tender  means the completed pages entitled appendix to tender which are appended to and form part of the Letter of Tender."
1.1.1.10,The Contract,"""Schedule of Guarantees  and ""Schedule of Payments"" mean the documents so named (if any) which are comprised in the Schedules."
1.1.2.1,Parties and Persons,"""Party  means the Employer or the Contractor, as the context requires."
1.1.2.2,Parties and Persons,"""Employer  means the person named as employer in the Appendix to Tender and the legal successors in title to this person."
